chicken wild rice soup,oreos,Glucosamine,Zantac,thanksgiving dinner,sun chips,egg white dlite,high carb,floravit iron,chicken,milk,pur-absorb iron,Aspirin,toast,busy,raked leaves,dairy,cream of asparagus soup,enchilada,cinnamon cake,Turmeric,toast with butter,Restaurant,ginger ale,Candy,Cat,Dinner,Steps,Magnesium,Cambia,bread,maple syrup,pretzels w sesame seeds,home alone,shopping,> 40 oz water,Fish oil,perfume,caesar salad,cheese,veggie pizza,Lexapro,cilantro salad dressing,turkey sandwich,Prilosec,bacon,almonds,Afternoon nap,mexican dinner,ice cream,Claritin,Yin Chiao,Pataday,Citalopram,sleepytime tea,spinach risotto,ate breakfast,exercise,half margarita,Slept well,BLT,cinnamon roll,raspberries,blueberries,grapes,over 5000 steps,pasta,afternoon tea,Egg,Cleaning ,Gabapentin,slept in,Guacamole,chicken soup,Coffee with sugar and cream,oatmeal,Soy Sauce,new environment,listen to music ,cinnamon,Daytime nap,Tian Ma Tou Tong - headache,popcorn,Prednesone,yogurt and fruit,massage,olive oil,Diazepam,chow mein,danced,hiking,physical therapy,L-methylfolate,beef pot pie,salty snacks,Writing,one glass of wine,had sex,chewing gum,Levothyroxine,slept in chair,sugar free diet,Topiramate,Citrucel,Tomato,Car travel,sushi,2 cocktails,gluten,gym,high salt,pasta and pesto,Sugar in evening,cream cheese wantons,cereal,Multivitamin,Sedentary,Mirtazapine,heavy lifting,exercised,almond coconut bar,over ate,Ibuprofen,cake,Meditation,Ate junk food,lunch at restaurant,chinese veggies and rice,Soda crackers,cheese quesadilla,green beans,drank alcohol,birth control,beef stew,eggs florentine,Wei Zhang Shun Qi Wan,travel,popsicle,severe pain,Daily walk,housework,rice noodles,Exercise--walking,elliptical,ate dairy,tomato,high water consumption,active morning,pizza,Cat ,laundry,salad,eggs,Vitamin d,Gan Mao Qing anti-viral,Progesterone,Spironolactone,chicken salad,Ondansetron,Keppra,chicken wild rice,butter,doritos,Singing,soy sauce,long walk,egg,pasta and veggies,Pristiq,row
,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,0.0,,,,2.0,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,0.0,,,,,0.0,2.0,,,,,0.0,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,2.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,listen to music 
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,2.0,0.0,2.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,cinnamon
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,,,0.0,2.0,0.0,2.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.684364970357,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Daytime nap
,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,2.0,0.0,0.0,,,0.0,,,,,,,,,,,Tian Ma Tou Tong - headache
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,2.0,0.0,2.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,popcorn
2.0,2.0,,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,,2.0,0.0,2.0,,2.0,,,,,2.0,2.0,,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,,,2.0,2.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,Prednesone
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,,2.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,yogurt and fruit
2.0,2.0,,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,,2.0,0.0,2.0,,2.0,,2.0,,,,,2.0,2.0,,2.0,2.0,2.0,,,,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,,,2.0,2.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,massage
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,0.0,2.0,,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,olive oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diazepam
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,chow mein
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,danced
,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,0.0,,,,2.0,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,0.0,,,,,0.0,2.0,,,,,0.0,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,2.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,hiking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,2.0,,,,0.0,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,2.0,,,,,2.0,0.0,,,,,2.0,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,0.0,,,,,,2.0,,,2.0,,,,,,,,2.0,,,,,,,,,,0.0,,,,2.0,,,,,,L-methylfolate
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,beef pot pie
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,salty snacks
,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,0.0,,,,2.0,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,2.0,,,,,,,,0.0,2.0,,,,,0.0,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,2.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,Writing
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,one glass of wine
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,had sex
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,chewing gum
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Levothyroxine
,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,0.0,,,,2.0,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,2.0,,,0.0,,,,,,2.0,,,,,0.0,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,2.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,slept in chair
,,,,,,,,,,,,0.0,,,,2.0,,,,,,,,,2.0,,,,0.0,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,2.0,,0.0,,,2.0,,,,,2.0,,,,,,2.0,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,0.0,,,,,,2.0,,,2.0,,,,,,,,2.0,,,,,,,,,,0.0,,,,2.0,,,,,,sugar free diet
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Topiramate
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Citrucel
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Tomato
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Car travel
,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,0.0,,,,2.0,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,2.0,,,0.0,,,,,0.0,2.0,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,2.0,,,,,,0.0,,,0.0,,,,,,,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,sushi
0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2 cocktails
,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,0.0,2.0,2.0,,,2.0,,,,,,,,,,,gluten
